Company_Name,Rating,Reviews,Company_Type,Location,Salaries,Interviews,Jobs,Benefits,Photos,Highly_Rated_For
Softmason Technologies India,5.0,(92),IT Services & Consulting,Hyderabad +4 other locations,1,99,3,4,--,"Company Culture, Work Life Balance, Work Satisfaction"
Asset Homes,4.7,(92),Engineering & Construction,New Delhi +12 other locations,229,19,13,2,3,"Skill Development, Work Satisfaction, Company Culture"
Bhailal Amin General Hospital,4.5,(93),Non-Profit,New Delhi +2 other locations,245,4,1,11,1,"Company Culture, Work Life Balance, Skill Development"
Edge Software Solutions,4.6,(92),IT Services & Consulting,Hyderabad +2 other locations,621,4,--,1,--,"Work Life Balance, Company Culture, Work Satisfaction"
Wellversed,4.7,(91),Fitness & Wellness,Gurugram +2 other locations,154,4,2,5,--,"Skill Development, Company Culture, Job Security"
Omnist Techhub Solutions,4.9,(91),IT Services & Consulting,Noida +3 other locations,100,9,1,4,1,"Company Culture, Work Life Balance, Work Satisfaction"
Codeflies Technologies Pvt. Ltd,4.6,(91),IT Services & Consulting,Noida +4 other locations,143,22,1,12,17,"Company Culture, Work Life Balance, Work Satisfaction"
@home,4.5,(91),Hospitality,Mumbai +26 other locations,847,2,1,3,--,"Work Life Balance, Company Culture, Skill Development"
DianApps,4.5,(91),IT Services & Consulting,New Delhi +1 other locations,221,12,7,27,--,"Company Culture, Work Life Balance, Work Satisfaction"
Karuna Group of Companies,4.6,(90),Kolkata +5 other locations,,32,2,--,2,--,"Company Culture, Work Life Balance, Job Security"
Gulf Contracting,4.5,(89),Engineering & Construction,New Delhi +11 other locations,232,4,--,16,--,"Salary, Company Culture, Work Life Balance"
Agkem Impex,4.6,(89),Jewellery,New Delhi +16 other locations,133,12,5,1,5,"Company Culture, Work Life Balance, Work Satisfaction"
Sky Gourmet Catering,4.6,(89),Hospitality,New Delhi +9 other locations,266,1,--,17,--,"Company Culture, Work Life Balance, Work Satisfaction"
KASMO,4.5,(89),IT Services & Consulting,Bengaluru +4 other locations,257,8,--,1,5,"Company Culture, Skill Development, Work Life Balance"
Aswartha Condition Monitoring Engineers,4.6,(88),Engineering & Construction,Hyderabad +22 other locations,157,3,--,9,--,"Skill Development, Salary, Work Satisfaction"
Corporation Bank,4.7,(88),Banking,Bengaluru +33 other locations,190,1,--,16,--,"Work Satisfaction, Skill Development, Salary"
Mee Seva Western union,4.5,(88),Hyderabad +27 other locations,,186,3,--,4,--,"Work Life Balance, Skill Development, Work Satisfaction"
Special Protection Group,4.9,(88),Government,New Delhi +6 other locations,203,1,--,9,--,"Company Culture, Work Life Balance, Work Satisfaction"
Saviance Technologies,4.8,(88),IT Services & Consulting,Gurugram +3 other locations,142,6,--,8,--,"Company Culture, Work Satisfaction, Skill Development"
Jetspeed Logistics,4.5,(88),Logistics,Mumbai +7 other locations,108,67,1,1,--,"Company Culture, Job Security, Work Life Balance"
Bharti Retail,4.5,(88),Retail,Gurugram +36 other locations,115,--,--,16,--,"Company Culture, Skill Development, Work Life Balance"
Satnam Webtech,4.7,(88),New Delhi +3 other locations,,111,9,--,1,2,"Skill Development, Company Culture, Work Life Balance"
Sai Enterprises,4.6,(88),Electrical Equipment,Pune +32 other locations,698,4,2,1,--,"Company Culture, Work Life Balance, Work Satisfaction"
Probey Services Private Limited,4.7,(89),Internet,Noida +2 other locations,18,16,10,7,11,"Company Culture, Work Life Balance, Work Satisfaction"
Achievers Spot,4.6,(87),Education & Training,Chennai +13 other locations,31,14,18,11,--,"Job Security, Skill Development, Company Culture"
Nuclear Fuel Complex,4.5,(86),Government,Hyderabad +7 other locations,278,3,--,6,3,"Work Life Balance, Company Culture, Work Satisfaction"
I3 MATRIX,4.7,(86),Chennai,,20,18,3,--,--,"Company Culture, Work Life Balance, Work Satisfaction"
HP Globalsoft,4.8,(86),Bengaluru +3 other locations,,387,--,--,14,--,"Company Culture, Work Life Balance, Work Satisfaction"
The MobileStore,4.8,(86),Internet,Ahmedabad +23 other locations,246,3,--,9,--,"Skill Development, Salary, Company Culture"
Excelity Global,4.5,(86),Recruitment,Bengaluru +6 other locations,314,1,--,12,1,"Company Culture, Skill Development, Job Security"
Centurion Software Solutions,4.5,(86),IT Services & Consulting,Bengaluru +3 other locations,1.4k,1,--,23,--,"Company Culture, Work Life Balance, Work Satisfaction"
MahaOnline,4.7,(86),IT Services & Consulting,Mumbai +23 other locations,182,5,--,13,--,"Company Culture, Work Life Balance, Skill Development"
Assetz Property Group,4.5,(86),Real Estate,Bengaluru +2 other locations,436,8,--,7,--,"Job Security, Work Life Balance, Company Culture"
CLP India,4.5,(86),Power,Mumbai +10 other locations,398,5,--,18,2,"Company Culture, Job Security, Work Life Balance"
Trustline Securities,4.6,(86),Investment Banking / Venture Capital / Private Equity,Noida +19 other locations,288,4,5,11,1,"Work Life Balance, Company Culture, Work Satisfaction"
Fintech Forge,4.7,(86),Gurugram +1 other locations,,10,7,1,--,--,"Work Life Balance, Skill Development, Company Culture"
InI Farms,4.5,(86),Agriculture,Mumbai +11 other locations,365,7,--,6,--,"Company Culture, Work Life Balance, Skill Development"
Independent Consultant,4.6,(86),EdTech,Bengaluru +24 other locations,2.6k,7,--,3,--,"Work Life Balance, Company Culture, Work Satisfaction"
SBI Kiosk Banking,4.5,(86),Banking,New Delhi +45 other locations,180,13,--,8,--,"Skill Development, Company Culture, Work Life Balance"
MindTrail Technologies,4.5,(86),IT Services & Consulting,Hyderabad +5 other locations,1.1k,2,--,1,--,"Company Culture, Work Life Balance, Work Satisfaction"
Propusers.com,4.5,(86),Real Estate,Noida +4 other locations,91,19,3,--,3,"Company Culture, Skill Development, Work Life Balance"
VIVA,4.6,(85),Mumbai +40 other locations,,91,2,--,6,--,"Company Culture, Skill Development, Work Life Balance"
N S Associates,4.6,(86),Engineering & Construction,New Delhi +13 other locations,341,3,--,2,--,"Skill Development, Work Life Balance, Company Culture"
Moog India Technology Center,4.4,(86),Defence & Aerospace,Bengaluru +3 other locations,418,5,10,8,--,"Company Culture, Work Life Balance, Work Satisfaction"
