Company_Name,Rating,Reviews,Company_Type,Location,Salaries,Interviews,Jobs,Benefits,Photos,Highly_Rated_For
Hitech Projects Limited,4.6,(524),Engineering & Construction,Ahmedabad +8 other locations,683,59,--,15,4,"Company Culture, Job Security, Skill Development"
ACTE,4.6,(521),Education & Training,Chennai +10 other locations,118,9,--,173,--,"Work Satisfaction, Job Security, Promotions"
Tradeshala,4.5,(521),Education & Training,Bengaluru +8 other locations,36,119,--,7,7,"Work Life Balance, Skill Development, Company Culture"
ThoughtSol Infotech Limited,4.6,(512),IT Services & Consulting,New Delhi +18 other locations,602,100,--,5,21,"Company Culture, Work Life Balance, Job Security"
Symphony,4.6,(469),Consumer Electronics & Appliances,Ahmedabad +88 other locations,1.1k,63,2,22,15,"Company Culture, Work Life Balance, Work Satisfaction"
DB Power Limited,4.7,(444),Power,New Delhi +13 other locations,761,64,--,26,9,"Work Life Balance, Job Security, Company Culture"
Tutopia,4.5,(440),EdTech,Kolkata +4 other locations,413,254,1,2,--,"Company Culture, Work Life Balance, Skill Development"
K D Hospital,4.5,(439),Healthcare,Ahmedabad +8 other locations,352,23,21,7,6,"Company Culture, Job Security, Skill Development"
The Belgian Waffle co,4.5,(415),Hospitality,Mumbai +29 other locations,729,58,--,3,10,"Work Life Balance, Company Culture, Work Satisfaction"
Dodsal Engineering & Construction,4.5,(414),Engineering & Construction,Mumbai +35 other locations,684,16,--,71,--,"Work Satisfaction, Skill Development, Company Culture"
Viva Composite Panel,4.5,(412),Building Material,Mumbai +61 other locations,624,101,26,11,15,"Company Culture, Work Life Balance, Work Satisfaction"
Motilal Oswal Private Wealth Management,4.5,(411),Financial Services,Mumbai +26 other locations,272,83,--,2,5,"Skill Development, Company Culture, Work Life Balance"
Indian Space Research Organisation,4.6,(409),Defence & Aerospace,Bengaluru +36 other locations,1.3k,24,--,39,3,"Company Culture, Work Life Balance, Work Satisfaction"
NR Consulting,4.7,(393),Recruitment,Noida +17 other locations,320,84,736,7,17,"Company Culture, Work Life Balance, Work Satisfaction"
CapeStart,4.5,(393),IT Services & Consulting,New Delhi +4 other locations,644,83,28,131,22,"Company Culture, Job Security, Skill Development"
AIMLAY,4.6,(391),EdTech,New Delhi +3 other locations,419,16,10,15,29,"Skill Development, Company Culture, Work Life Balance"
Learning Routes,4.5,(390),EdTech,Gurugram +15 other locations,427,111,6,14,18,"Company Culture, Skill Development, Work Satisfaction"
Transact Global,4.6,(388),BPO,Bengaluru +2 other locations,415,95,17,13,3,"Company Culture, Work Life Balance, Job Security"
Kaddacon Systems,4.6,(383),IT Services & Consulting,Pune +8 other locations,--,18,--,--,2,"Company Culture, Work Life Balance, Work Satisfaction"
Dimension Data,4.5,(380),IT Services & Consulting,Bengaluru +54 other locations,1.2k,8,--,41,--,"Work Life Balance, Company Culture, Work Satisfaction"
Kirloskar Toyota Textile Machinery,4.5,(380),Industrial Machinery,Bengaluru +11 other locations,805,21,--,45,5,"Company Culture, Work Life Balance, Salary"
KaaShiv InfoTech Company,4.8,(376),EdTech,Chennai +5 other locations,225,37,--,2,--,"Work Satisfaction, Company Culture, Job Security"
Watchyourhealth.com,4.6,(363),Emerging Technologies,New Delhi +3 other locations,365,55,--,22,2,"Company Culture, Work Life Balance, Work Satisfaction"
Gujarat Alkalies & Chemicals,4.6,(360),Chemicals,New Delhi +15 other locations,1.5k,28,10,43,--,"Work Life Balance, Job Security, Company Culture"
Jaguar Security Services,4.5,(351),Law Enforcement & Security,Bengaluru +22 other locations,928,29,13,29,--,"Salary, Company Culture, Work Life Balance"
M K Agrotech Private Limited,4.5,(345),Food Processing,New Delhi +45 other locations,483,57,3,24,--,"Company Culture, Work Life Balance, Work Satisfaction"
Leixir Dental Group,4.5,(345),Healthcare,Gurugram +2 other locations,666,131,2,18,--,"Job Security, Company Culture, Work Life Balance"
Pharmed,4.7,(326),Pharma,Bengaluru +47 other locations,308,37,3,18,1,"Company Culture, Work Satisfaction, Job Security"
JUNIPER GREEN ENERGY,4.5,(322),Power,Gurugram +37 other locations,805,35,2,12,2,"Job Security, Company Culture, Work Life Balance"
MDC Group of Companies,4.8,(318),Pharma,Mumbai +5 other locations,90,3,4,66,--,"Company Culture, Work Life Balance, Work Satisfaction"
Aksentt Tech Services,4.5,(317),IT Services & Consulting,Mumbai +20 other locations,413,155,1,13,1,"Company Culture, Work Life Balance, Work Satisfaction"
Angelique International,4.6,(314),Engineering & Construction,Noida +21 other locations,1k,14,2,34,--,"Company Culture, Work Life Balance, Work Satisfaction"
Opkey,4.5,(314),Software Product,Noida +8 other locations,586,26,20,204,--,"Skill Development, Company Culture, Work Satisfaction"
Markelytics Solutions,4.5,(313),Analytics & KPO,Bengaluru +5 other locations,352,2,1,60,--,"Work Life Balance, Company Culture, Work Satisfaction"
OneBanc Technologies,4.9,(313),FinTech,Gurugram +2 other locations,216,41,4,63,20,"Company Culture, Work Satisfaction, Job Security"
Infiniti Software Solutions,4.5,(312),Software Product,Chennai +6 other locations,576,110,8,7,45,"Job Security, Company Culture, Work Satisfaction"
UNITILE,4.6,(311),Building Material,Mumbai +15 other locations,379,43,16,98,59,"Company Culture, Work Life Balance, Work Satisfaction"
Military Engineer Services,4.6,(311),Engineering & Construction,New Delhi +77 other locations,667,13,--,30,--,"Work Life Balance, Company Culture, Work Satisfaction"
Outpace Consulting Services,4.6,(309),New Delhi +17 other locations,,138,89,--,13,3,"Work Life Balance, Company Culture, Work Satisfaction"
Zenex Animal Health,4.6,(308),Pharma,Ahmedabad +62 other locations,245,81,1,13,10,"Company Culture, Work Life Balance, Work Satisfaction"
Madina Group,4.5,(307),Oil & Gas,New Delhi +20 other locations,517,25,--,45,--,"Company Culture, Work Life Balance, Work Satisfaction"
DRA Homes,4.5,(304),Real Estate,Chennai +4 other locations,354,52,--,12,162,"Company Culture, Work Satisfaction, Skill Development"
Soma Enterprises,4.6,(302),Engineering & Construction,Hyderabad +49 other locations,750,7,--,49,--,"Work Satisfaction, Job Security, Skill Development"
Lanco Infratech,4.5,(300),Engineering & Construction,Gurugram +31 other locations,651,3,--,51,--,"Work Satisfaction, Skill Development, Work Life Balance"
Roki Minda Co,4.5,(300),Auto Components,Chennai +19 other locations,840,10,--,28,--,"Work Life Balance, Company Culture, Job Security"
Fexprime Finance,4.5,(298),Financial Services,New Delhi +47 other locations,705,7,--,27,--,"Company Culture, Work Life Balance, Work Satisfaction"
Pawzz,4.5,(300),Gurugram +11 other locations,,3,143,--,32,--,"Company Culture, Work Life Balance, Work Satisfaction"
First Flight Couriers,4.5,(294),Logistics,Mumbai +71 other locations,488,8,32,30,--,"Skill Development, Company Culture, Work Life Balance"
Bhash Software Labs,4.5,(293),Software Product,Bengaluru +4 other locations,146,43,2,25,--,"Work Life Balance, Skill Development, Company Culture"
Bharat Dynamics,4.5,(292),Defence & Aerospace,Hyderabad +7 other locations,704,11,--,44,--,"Work Life Balance, Company Culture, Work Satisfaction"
Online Legal India,4.5,(292),Other,Kolkata +7 other locations,55,22,--,22,8,"Work Life Balance, Job Security, Promotions"
Baoiam Innovations,4.6,(291),EdTech,New Delhi +11 other locations,43,18,--,11,--,"Work Life Balance, Company Culture, Work Satisfaction"
HM Group,4.5,(291),Real Estate,Bengaluru +3 other locations,417,36,--,8,--,"Company Culture, Work Life Balance, Work Satisfaction"
TourTravelWorld.Com,4.9,(290),Internet,New Delhi,2,103,--,3,12,"Company Culture, Work Life Balance, Work Satisfaction"
Think Future Technologies,4.5,(289),IT Services & Consulting,Gurugram +4 other locations,1.1k,55,13,8,16,"Work Life Balance, Company Culture, Work Satisfaction"
Quantzig,4.5,(285),Analytics & KPO,Bengaluru +4 other locations,388,6,2,59,--,"Salary, Work Life Balance, Promotions"
CloudFoundation,4.8,(282),Hyderabad +10 other locations,,171,1,5,8,--,"Company Culture, Work Life Balance, Work Satisfaction"
Girlscript Foundation,4.9,(280),Bengaluru +21 other locations,,13,73,--,2,--,"Company Culture, Work Life Balance, Skill Development"
Hero Vired,4.5,(275),Education & Training,New Delhi +7 other locations,553,15,--,2,--,"Salary, Company Culture, Work Life Balance"
BuildAHome,4.5,(274),Engineering & Construction,Bengaluru +5 other locations,350,84,2,51,2,"Company Culture, Work Satisfaction, Skill Development"
EVRY India,4.5,(273),IT Services & Consulting,Bengaluru +3 other locations,1.3k,19,--,26,3,"Work Life Balance, Company Culture, Job Security"
indiagold,4.5,(273),FinTech,Gurugram +21 other locations,553,45,14,9,6,"Company Culture, Work Life Balance, Work Satisfaction"
Vantive,4.5,(267),Healthcare,Bengaluru +7 other locations,310,94,7,13,--,"Company Culture, Work Life Balance, Work Satisfaction"
Lafarge,4.6,(263),Building Material,Mumbai +73 other locations,521,10,--,51,--,"Company Culture, Job Security, Skill Development"
Gatewaypark Business,4.6,(261),Software Product,Bengaluru +6 other locations,5,19,--,--,--,"Work Life Balance, Company Culture, Work Satisfaction"
GrapplTech,4.8,(259),IT Services & Consulting,Bengaluru +12 other locations,15,16,--,12,--,"Company Culture, Work Life Balance, Work Satisfaction"
Augmont Goldtech,4.7,(258),Financial Services,Mumbai +57 other locations,308,95,10,4,10,"Company Culture, Work Life Balance, Work Satisfaction"
Singareni Collieries Company,4.5,(254),Metals & Mining,Hyderabad +19 other locations,586,12,--,23,--,"Work Life Balance, Job Security, Work Satisfaction"
HyperCITY,4.7,(252),Retail,Mumbai +21 other locations,389,4,--,42,--,"Skill Development, Work Life Balance, Company Culture"
Invertis University,4.7,(249),Education & Training,New Delhi +4 other locations,238,71,107,11,--,"Company Culture, Work Life Balance, Work Satisfaction"
Easyday Club,4.6,(249),Retail,New Delhi +74 other locations,434,11,--,43,--,"Skill Development, Work Life Balance, Work Satisfaction"
House of Hiranandani,4.6,(246),Real Estate,Mumbai +11 other locations,565,40,--,10,--,"Company Culture, Work Life Balance, Job Security"
AONE OUTSOURCING SOLUTIONS,4.6,(244),Financial Services,New Delhi +7 other locations,321,21,--,31,15,"Company Culture, Work Life Balance, Work Satisfaction"
Narmada Bio Chem,4.9,(242),Agro Chemicals,Ahmedabad +14 other locations,287,7,1,58,38,"Work Life Balance, Company Culture, Work Satisfaction"
United Alliance Technology,4.9,(241),IT Services & Consulting,Pune +6 other locations,27,5,--,90,--,"Company Culture, Work Life Balance, Work Satisfaction"
Chennai Petroleum Corporation,4.6,(240),Oil & Gas,Chennai +11 other locations,1k,20,--,19,--,"Job Security, Skill Development, Work Life Balance"
Shaw Toyota,4.9,(239),Automobile,Pune +3 other locations,143,57,--,75,2,"Company Culture, Work Life Balance, Work Satisfaction"
Manubhai Jewellers,4.7,(238),Jewellery,Mumbai +2 other locations,194,62,2,3,31,"Work Life Balance, Skill Development, Company Culture"
Karanwal Capital,4.6,(238),Investment Banking / Venture Capital / Private Equity,Mumbai +2 other locations,211,102,--,63,15,"Company Culture, Work Satisfaction, Job Security"
Model N,4.5,(238),Software Product,Hyderabad +1 other locations,926,31,12,13,62,"Company Culture, Work Life Balance, Work Satisfaction"
Placementindia.com,4.9,(236),Recruitment,New Delhi +2 other locations,5,10,--,4,31,"Company Culture, Work Life Balance, Work Satisfaction"
Sedin Technologies,4.5,(238),IT Services & Consulting,Chennai +5 other locations,1k,69,30,13,5,"Work Life Balance, Company Culture, Work Satisfaction"
National Insurance Company,4.6,(236),Insurance,Kolkata +81 other locations,566,7,--,23,--,"Work Life Balance, Job Security, Company Culture"
Innoval Digital Solutions,4.7,(234),Software Product,New Delhi +6 other locations,378,9,1,56,4,"Work Life Balance, Job Security, Skill Development"
Balaji Enterprises,4.5,(230),Real Estate,New Delhi +73 other locations,1.4k,11,7,16,1,"Company Culture, Work Life Balance, Work Satisfaction"
Impressico Business Solutions,4.5,(230),IT Services & Consulting,Noida +9 other locations,1k,17,13,41,9,"Company Culture, Work Life Balance, Work Satisfaction"
Rajan Technocast,4.7,(228),Industrial Machinery,New Delhi +18 other locations,173,10,1,8,--,"Salary, Company Culture, Work Life Balance"
Kserve Bpo,4.5,(224),BPO,Mumbai +5 other locations,460,9,2,4,--,"Work Life Balance, Company Culture, Work Satisfaction"
Army Ordnance Corps,4.8,(224),Defence & Aerospace,New Delhi +60 other locations,488,7,--,17,--,"Work Life Balance, Company Culture, Work Satisfaction"
Petrofac Engineering India,4.6,(222),Petrochemicals,Mumbai +12 other locations,1k,11,2,18,--,"Work Satisfaction, Salary, Company Culture"
SEO Discovery,4.9,(222),Financial Services,New Delhi +6 other locations,201,68,3,5,--,"Company Culture, Work Life Balance, Work Satisfaction"
Scyo Decision Services,4.5,(220),Analytics & KPO,Chennai +3 other locations,368,24,2,1,6,"Job Security, Work Life Balance, Company Culture"
Experion Developers,4.8,(220),Real Estate,Gurugram +9 other locations,648,6,--,10,--,"Company Culture, Work Life Balance, Work Satisfaction"
ONLEI Technologies,4.9,(217),Noida +22 other locations,,20,25,2,2,--,"Company Culture, Work Life Balance, Skill Development"
Ajmera Realty & Infra India,4.6,(217),Real Estate,Mumbai +6 other locations,580,4,38,7,--,"Company Culture, Work Life Balance, Work Satisfaction"
Prithvi Innerwears Private Limited,4.8,(216),Fashion & Textile,New Delhi +23 other locations,65,47,--,1,--,"Company Culture, Work Life Balance, Job Security"
YouTube,4.5,(209),Internet,New Delhi +41 other locations,896,11,--,12,--,"Work Satisfaction, Skill Development, Company Culture"
ACME Group,4.6,(208),Internet,Gurugram +28 other locations,292,31,--,4,--,"Work Life Balance, Skill Development, Salary"
Ways2excel,4.5,(207),EdTech,Kolkata +1 other locations,61,6,--,56,--,"Company Culture, Skill Development, Work Life Balance"
Lingaya's Vidyapeeth,4.5,(207),Education & Training,New Delhi +4 other locations,280,46,3,2,--,"Company Culture, Work Life Balance, Work Satisfaction"
Quest Diagnostics,4.5,(206),Healthcare,Hyderabad +11 other locations,912,11,4,26,--,"Work Life Balance, Salary, Company Culture"
Orthosquare Dental Clinic,4.5,(206),Healthcare,Mumbai +26 other locations,86,16,--,2,1,"Skill Development, Company Culture, Work Satisfaction"
Grass Roots Research & Creation,4.7,(205),Analytics & KPO,New Delhi +14 other locations,129,2,4,127,--,"Work Life Balance, Skill Development, Company Culture"
Sakarni Plaster,4.5,(206),Building Material,New Delhi +33 other locations,359,62,--,18,--,"Work Life Balance, Company Culture, Work Satisfaction"
Army Medical Corps,4.8,(205),Healthcare,New Delhi +33 other locations,661,18,--,36,--,"Job Security, Work Life Balance, Work Satisfaction"
Vrinsoft Technology,4.5,(203),IT Services & Consulting,Ahmedabad +2 other locations,232,31,1,7,--,"Company Culture, Skill Development, Work Life Balance"
SCON Projects,4.5,(202),Engineering & Construction,Pune +21 other locations,650,8,--,17,--,"Job Security, Company Culture, Salary"
Little Nap Recliners,4.7,(201),Furniture & Furnishing,New Delhi +18 other locations,29,34,1,41,97,"Company Culture, Work Satisfaction, Job Security"
E2logy Software Solutions,4.5,(200),IT Services & Consulting,Noida +2 other locations,222,14,6,94,--,"Work Life Balance, Work Satisfaction, Skill Development"
Mangalam Landmarks,4.8,(196),Real Estate,Pune +2 other locations,140,92,1,1,--,"Company Culture, Skill Development, Work Life Balance"
Go Speedy Go,4.5,(194),Automobile,New Delhi +12 other locations,100,16,--,30,30,"Company Culture, Work Life Balance, Skill Development"
Liyaans Properties,4.8,(193),Real Estate,Kolkata,60,5,2,5,1,"Company Culture, Work Life Balance, Work Satisfaction"
Vikas Money,4.7,(192),NBFC,New Delhi +9 other locations,54,15,--,1,--,"Company Culture, Work Life Balance, Skill Development"
Monnet Group,4.5,(191),Metals & Mining,New Delhi +18 other locations,447,12,--,18,--,"Work Life Balance, Job Security, Company Culture"
Godavari Krishna Co-operative Society,4.8,(190),Financial Services,New Delhi +17 other locations,98,61,6,--,3,"Skill Development, Company Culture, Work Life Balance"
Google Maps,4.8,(190),Internet,Hyderabad +26 other locations,156,21,--,4,--,"Work Life Balance, Work Satisfaction, Promotions"
Karuna Greentech,4.5,(188),Electrical Equipment,Kolkata +17 other locations,132,2,--,5,1,"Skill Development, Salary, Company Culture"
Raptim Research,4.5,(187),Clinical Research,Mumbai +5 other locations,915,14,--,15,--,"Job Security, Work Life Balance, Company Culture"
SmartSchool Education,4.6,(187),EdTech,Noida +13 other locations,431,48,3,50,--,"Company Culture, Work Life Balance, Work Satisfaction"
Aditya Anagha Multi State Credit Co-Operative Society,4.8,(187),Banking,New Delhi +30 other locations,107,5,--,2,--,"Company Culture, Work Life Balance, Job Security"
Vmoksha Technologies,4.5,(186),IT Services & Consulting,Bengaluru +4 other locations,529,24,--,6,--,"Work Life Balance, Work Satisfaction, Skill Development"
S kant Healthcare Ltd,4.6,(185),Pharma,New Delhi +8 other locations,513,9,1,8,16,"Company Culture, Work Life Balance, Work Satisfaction"
Eicher Trucks and Buses,4.5,(184),Automobile,New Delhi +53 other locations,557,12,--,25,1,"Company Culture, Work Life Balance, Work Satisfaction"
Cadworks India,4.9,(182),Design,New Delhi +6 other locations,61,10,--,6,--,"Skill Development, Company Culture, Work Life Balance"
O2 Power,4.5,(183),Power,Gurugram +34 other locations,505,8,--,2,--,"Company Culture, Work Life Balance, Work Satisfaction"
Vehere Technologies,4.5,(181),IT Services & Consulting,Kolkata +7 other locations,312,24,6,9,5,"Job Security, Company Culture, Work Life Balance"
MiM-Essay,4.5,(181),Education & Training,New Delhi +2 other locations,247,23,--,4,--,"Skill Development, Company Culture, Work Satisfaction"
Asianet Satellite Communications,4.5,(181),Internet,New Delhi +23 other locations,559,23,1,11,--,"Work Life Balance, Company Culture, Work Satisfaction"
Simpa Energy,4.6,(180),Power,Noida +32 other locations,339,1,--,25,--,"Company Culture, Work Life Balance, Work Satisfaction"
Sistema Shyam Teleservices,4.9,(180),Telecom,Gurugram +42 other locations,242,--,2,31,--,"Work Satisfaction, Salary, Company Culture"
Tech Vedhu,4.6,(179),Bengaluru +3 other locations,,8,10,--,23,--,"Company Culture, Job Security, Promotions"
Cytecare Cancer Hospital,4.6,(177),Healthcare,Bengaluru +3 other locations,453,14,9,12,4,"Company Culture, Skill Development, Work Life Balance"
Accurate Global Alliances,4.7,(174),Recruitment,Noida +6 other locations,59,10,--,2,--,"Skill Development, Company Culture, Work Life Balance"
CFlo,4.5,(174),Industrial Machinery,Kolkata +10 other locations,414,12,--,16,--,"Company Culture, Skill Development, Job Security"
Trawex Technologies,4.5,(174),Software Product,Bengaluru +1 other locations,139,20,8,10,--,"Company Culture, Work Life Balance, Work Satisfaction"
SR Fast Connect Staffing,4.5,(174),Noida +4 other locations,,22,55,--,24,--,"Company Culture, Work Life Balance, Work Satisfaction"
Wintax Solution,4.7,(174),Recruitment,New Delhi +60 other locations,26,4,--,114,2,"Company Culture, Work Life Balance, Work Satisfaction"
IREO,4.5,(172),Real Estate,Gurugram +10 other locations,584,6,--,24,--,"Work Life Balance, Job Security, Company Culture"
Lince Soft Solutions,4.6,(171),Recruitment,Hyderabad +5 other locations,1.7k,8,--,9,--,"Work Life Balance, Skill Development, Company Culture"
Allahabad Bank,4.5,(169),Banking,Kolkata +52 other locations,319,2,--,22,2,"Job Security, Company Culture, Promotions"
Consern Pharma Limited,4.6,(166),Pharma,New Delhi +26 other locations,219,30,10,23,14,"Company Culture, Job Security, Work Satisfaction"
Covestro,4.5,(165),Petrochemicals,New Delhi +10 other locations,597,16,3,19,--,"Company Culture, Work Life Balance, Salary"
High Court Lucknow,4.5,(163),Law Enforcement & Security,New Delhi +25 other locations,1.1k,6,--,13,--,"Skill Development, Work Life Balance, Work Satisfaction"
CollegePur,4.6,(161),Education & Training,New Delhi +7 other locations,7,61,5,8,--,"Company Culture, Work Life Balance, Work Satisfaction"
Saraswati Accountants Software,4.5,(160),IT Services & Consulting,New Delhi +4 other locations,126,23,--,14,11,"Skill Development, Company Culture, Job Security"
Webdew,4.5,(160),IT Services & Consulting,New Delhi +9 other locations,151,108,4,41,6,"Company Culture, Work Life Balance, Work Satisfaction"
IG Defence,4.6,(159),New Delhi +4 other locations,,35,7,--,2,--,"Company Culture, Work Life Balance, Work Satisfaction"
Aligarh Muslim University,4.5,(159),Education & Training,New Delhi +10 other locations,414,5,--,14,--,"Work Life Balance, Work Satisfaction, Skill Development"
AYN InfoTech,4.5,(158),IT Services & Consulting,Pune +12 other locations,184,1,--,48,--,"Work Life Balance, Company Culture, Work Satisfaction"
GKB Opticals,4.5,(158),Retail,Kolkata +24 other locations,375,7,--,9,--,"Company Culture, Job Security, Work Life Balance"
Sapphire Infocom,4.8,(158),IT Services & Consulting,Ahmedabad +4 other locations,16,38,3,13,--,"Company Culture, Work Life Balance, Work Satisfaction"
T&N Business Services,4.8,(158),Recruitment,New Delhi +9 other locations,67,55,115,3,11,"Skill Development, Company Culture, Work Life Balance"
Central Coalfields,4.5,(157),Metals & Mining,New Delhi +11 other locations,299,6,--,11,--,"Work Life Balance, Company Culture, Work Satisfaction"
Khushi Advertising Ideas Private Limited,4.5,(157),Marketing & Advertising,Mumbai +22 other locations,263,7,3,8,2,"Company Culture, Work Satisfaction, Job Security"
MedTourEasy,4.7,(156),Internet,New Delhi +9 other locations,186,6,--,1,8,"Work Life Balance, Skill Development, Company Culture"
Qatargas,4.6,(156),Oil & Gas,Mumbai +15 other locations,513,11,--,18,--,"Work Satisfaction, Skill Development, Company Culture"
Indian Armed Forces,4.5,(156),Government,New Delhi +40 other locations,398,5,--,9,--,"Job Security, Company Culture, Work Satisfaction"
Mahanadi Coalfields,4.5,(155),Metals & Mining,New Delhi +22 other locations,251,8,1,8,1,"Job Security, Salary, Company Culture"
Magma Housing Finance,4.5,(152),Financial Services,Kolkata +61 other locations,371,5,--,14,--,"Work Satisfaction, Job Security, Company Culture"
RealEstateIndia.com,4.8,(153),Real Estate,New Delhi +3 other locations,1.4k,1,--,4,9,"Work Life Balance, Promotions, Company Culture"
Classcanyon,4.5,(153),Education & Training,New Delhi +4 other locations,62,7,--,34,--,"Company Culture, Work Life Balance, Promotions"
Solaris Chemtech,4.5,(152),Chemicals,New Delhi +13 other locations,592,11,--,26,--,"Skill Development, Company Culture, Job Security"
Global Trade Plaza,4.8,(151),Internet,New Delhi +4 other locations,59,93,4,6,--,"Company Culture, Work Life Balance, Work Satisfaction"
Ambrane India,4.6,(151),Consumer Electronics & Appliances,New Delhi +10 other locations,409,8,5,3,--,"Company Culture, Work Life Balance, Work Satisfaction"
Manorama Industries Limited,4.5,(151),FMCG,New Delhi +5 other locations,501,6,14,8,--,"Work Life Balance, Skill Development, Salary"
Puropale Creations & IT Solutions,4.7,(149),IT Services & Consulting,Hyderabad +1 other locations,15,2,--,--,--,"Company Culture, Skill Development, Work Life Balance"
Xcelore,4.8,(150),IT Services & Consulting,Noida +3 other locations,120,33,10,1,13,"Skill Development, Company Culture, Work Satisfaction"
v4c.ai,4.6,(149),Pune +2 other locations,,231,37,--,3,4,"Skill Development, Company Culture, Work Satisfaction"
Vedic International School,4.5,(149),Education & Training,New Delhi +4 other locations,270,8,--,6,2,"Company Culture, Work Life Balance, Work Satisfaction"
Prestige Estates Projects,4.5,(148),Real Estate,Bengaluru +9 other locations,655,9,--,13,--,"Job Security, Company Culture, Work Life Balance"
Srei Sahaj e-Village,4.5,(147),Retail,Kolkata +33 other locations,266,3,2,27,--,"Skill Development, Company Culture, Work Life Balance"
Reserve Bank of India,4.7,(146),Government,Mumbai +25 other locations,1.1k,18,--,12,--,"Work Life Balance, Salary, Job Security"
Trident Automobiles,4.6,(145),Auto Components,Bengaluru +7 other locations,545,2,--,18,--,"Company Culture, Work Life Balance, Job Security"
Bdh Industries,4.7,(145),Pharma,Mumbai +6 other locations,325,3,25,11,--,"Work Life Balance, Job Security, Company Culture"
Tarasafe International Private Limited,4.5,(145),Kolkata +2 other locations,,209,9,--,2,--,"Company Culture, Job Security, Work Life Balance"
Capital Finserve,4.7,(145),NBFC,New Delhi +8 other locations,57,7,--,56,2,"Work Satisfaction, Skill Development, Company Culture"
Chai Break,4.6,(144),Kolkata +3 other locations,,61,67,--,--,--,"Company Culture, Work Life Balance, Work Satisfaction"
Girl Power Talk,4.6,(144),Internet,New Delhi +4 other locations,45,4,5,4,4,"Skill Development, Company Culture, Job Security"
UptoSkills,4.6,(143),New Delhi +11 other locations,,31,39,--,1,--,"Company Culture, Skill Development, Work Life Balance"
Livesalesman,4.8,(143),BPO,Noida +6 other locations,124,1,--,9,--,"Company Culture, Work Satisfaction, Promotions"
Aster Medcity,4.6,(143),Healthcare,New Delhi +10 other locations,537,7,--,16,--,"Skill Development, Company Culture, Work Life Balance"
SNS College of Technology,4.7,(142),Education & Training,New Delhi +3 other locations,87,35,--,111,--,"Company Culture, Work Life Balance, Work Satisfaction"
Infosys Springboard,4.7,(142),Bengaluru +31 other locations,,45,7,--,--,--,"Work Life Balance, Skill Development, Company Culture"
Royal HaskoningDHV,4.5,(141),Engineering & Construction,Chennai +29 other locations,440,3,9,15,--,"Work Life Balance, Company Culture, Work Satisfaction"
Indian School Finance Company,4.6,(141),NBFC,Hyderabad +38 other locations,509,1,--,19,32,"Company Culture, Work Life Balance, Work Satisfaction"
Frugal Testing,4.6,(141),IT Services & Consulting,Hyderabad +1 other locations,159,23,6,3,30,"Work Satisfaction, Skill Development, Company Culture"
HM Constructions,4.6,(141),Real Estate,Bengaluru +7 other locations,199,27,26,19,--,"Work Life Balance, Work Satisfaction, Job Security"
Alpha Net Consulting,4.6,(140),IT Services & Consulting,New Delhi +5 other locations,245,12,--,4,2,"Skill Development, Salary, Company Culture"
Drums Food International,4.6,(140),Food Processing,Mumbai +25 other locations,562,8,2,12,--,"Salary, Work Life Balance, Company Culture"
Aquera,4.6,(139),IT Services & Consulting,Bengaluru +1 other locations,322,15,6,23,--,"Company Culture, Promotions, Skill Development"
Saudi Oger,4.5,(139),Engineering & Construction,New Delhi +13 other locations,149,5,--,31,--,"Company Culture, Job Security, Work Satisfaction"
Brand Factory,4.7,(139),Retail,Mumbai +39 other locations,450,4,--,18,--,"Work Life Balance, Work Satisfaction, Job Security"
Banaras Hindu University,4.7,(138),Education & Training,New Delhi +14 other locations,368,6,--,18,--,"Work Satisfaction, Job Security, Company Culture"
Kiaasa Retail Limited,4.6,(139),Retail,New Delhi +36 other locations,305,20,--,1,1,"Company Culture, Work Life Balance, Work Satisfaction"
Unique Measurement Service,4.5,(138),Auto Components,Chennai +9 other locations,234,70,2,11,--,"Skill Development, Work Satisfaction, Job Security"
Digicommerce Solutions LLP,4.6,(137),Internet,Noida +5 other locations,188,8,8,4,7,"Company Culture, Work Life Balance, Work Satisfaction"
Csc Computer Education,4.5,(137),Education & Training,Chennai +51 other locations,556,5,--,9,--,"Skill Development, Company Culture, Work Satisfaction"
Sugam Homes,4.5,(136),Real Estate,Kolkata +3 other locations,290,23,8,4,--,"Company Culture, Job Security, Work Life Balance"
iQGateway,4.5,(136),IT Services & Consulting,Bengaluru +3 other locations,330,8,--,5,--,"Work Life Balance, Company Culture, Work Satisfaction"
Ramdev Food Products,4.5,(134),Food Processing,Ahmedabad +20 other locations,407,7,2,10,--,"Salary, Company Culture, Work Life Balance"
MindSquare Technologies,4.5,(133),IT Services & Consulting,Bengaluru +21 other locations,486,6,--,32,--,"Work Life Balance, Work Satisfaction, Company Culture"
Distacart,4.7,(132),Internet,Hyderabad +4 other locations,95,31,22,2,--,"Work Life Balance, Job Security, Company Culture"
Reynold India,4.6,(132),Industrial Machinery,Noida +11 other locations,255,3,20,7,--,"Company Culture, Work Life Balance, Work Satisfaction"
Presidio Solutions Pvt Ltd,4.6,(132),IT Services & Consulting,Chennai +5 other locations,865,29,4,3,--,"Skill Development, Company Culture, Work Life Balance"
Snovasys,4.5,(131),IT Services & Consulting,Hyderabad +1 other locations,303,76,--,2,5,"Salary, Work Satisfaction, Skill Development"
